location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-14T01:45:00.000Z,2019-11-14T07:15:00+05:30,co,2820,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-14T01:45:00.000Z,2019-11-14T07:15:00+05:30,pm25,391.59,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T22:30:00.000Z,2019-11-14T04:00:00+05:30,co,4810,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T22:30:00.000Z,2019-11-14T04:00:00+05:30,pm25,366.05,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T22:30:00.000Z,2019-11-14T04:00:00+05:30,no2,102.78,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T22:30:00.000Z,2019-11-14T04:00:00+05:30,o3,9.3,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T22:30:00.000Z,2019-11-14T04:00:00+05:30,pm10,652.79,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T21:15:00.000Z,2019-11-14T02:45:00+05:30,pm10,599.57,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T21:15:00.000Z,2019-11-14T02:45:00+05:30,co,4100,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGI Airport (T3), Delhi - IMD",Delhi,IN,2019-11-13T21:15:00.000Z,2019-11-14T02:45:00+05:30,o3,7.93,µg/m³,28.5627763,77.1180053,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
